artist,artist_mbid,album,album_mbid,track,track_mbid,timestamp,datetime,track_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,key,loudness,mode
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,We've Got a Bigger Problem Now,3bf643ab-ebaa-4a98-bd86-a7f39b23addf,1697658373,2023-10-18 21:46:13,5p6Upe0lGmjOZtsYwiYKDt,0.38,0.516,0.0598,0.00307,0.0,0.0961,0.441,100.976,269746,4,1,-6.568,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Nazi Punks Fuck Off,7dc7ac5f-de88-350f-b2ee-1078d3557bcd,1697658310,2023-10-18 21:45:10,2LF13LC1wG5XqZ2js2yC9O,0.397,0.923,0.201,0.00132,0.0,0.261,0.676,112.666,63390,3,10,-4.029,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Dog Bite,022d91a1-eae1-4dfc-8b96-d93b4b524caf,1697658236,2023-10-18 21:43:56,3YK4bB2sJ4kEXuz7tgilu8,0.275,0.962,0.0956,0.000409,1.24e-05,0.327,0.604,172.494,73956,4,9,-3.329,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Kepone Factory,5574512e-149c-4084-b61e-9c2c6c24f5a8,1697658157,2023-10-18 21:42:37,7536uhNfDaaBShMn5SFjrS,0.442,0.975,0.128,0.000888,0.0,0.0627,0.399,89.783,78925,4,7,-3.924,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Hyperactive Child,04b97944-f094-3e2c-9f0b-197d17622e99,1697658121,2023-10-18 21:42:01,3WO1WRUC3Jj93vAAXbHglN,0.332,0.939,0.199,0.0102,0.0,0.399,0.744,80.092,37314,3,5,-4.019,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Moral Majority,31d18269-2e88-3548-812c-4ee4a55da2c5,1697658005,2023-10-18 21:40:05,6GuhvbkqEcvCp2sSqf5v62,0.297,0.903,0.503,0.0222,3.06e-06,0.138,0.0878,157.676,115496,4,2,-6.575,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Religious Vomit,034ba75f-573d-31b4-ac5a-a223bec1d4ba,1697657940,2023-10-18 21:39:00,7HyRIs3Ha53ExrEf2fTZyp,0.437,0.951,0.0924,0.000195,0.0,0.0703,0.718,105.046,64482,4,10,-3.686,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Moon Over Marin,4299b61d-e905-456b-a2eb-2f64010f37a6,1697657672,2023-10-18 21:34:32,2GhSbuIKbpS3XJ7wnWgz1B,0.249,0.869,0.0432,2.72e-05,2.79e-05,0.0849,0.354,158.453,223853,4,11,-4.619,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Dead End,064aabc7-1891-4dd7-a60e-7737125f7362,1697657436,2023-10-18 21:30:36,3jq1CCK2IEHLjIHKgmK9f8,0.235,0.946,0.0535,6.65e-05,0.0,0.113,0.403,175.007,236286,4,11,-5.391,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,I Am the Owl,13150d33-f1c3-35f9-8f96-1cba2b59b926,1697657144,2023-10-18 21:25:44,3bHhViIaKeurKFeax57Fio,0.499,0.819,0.0703,0.000162,0.0196,0.0978,0.609,82.203,291968,4,7,-6.713,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Bleed for Me,66be71cb-8661-45db-8e41-7df6095b6ba6,1697656940,2023-10-18 21:22:20,3AbYQi11L5RDO9QY6EjgOG,0.289,0.962,0.129,0.000194,7.77e-05,0.0946,0.118,102.594,204916,4,9,-5.647,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Riot,87003377-8091-4522-bf99-cf56baafc6c4,1697656582,2023-10-18 21:16:22,1aCf2VZNBccqLAJgzusAdx,0.345,0.96,0.381,0.0133,5.01e-06,0.089,0.074,135.461,357494,4,4,-6.295,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Winnebago Warrior,00b09e3d-4349-4901-9992-34d981107a98,1697656453,2023-10-18 21:14:13,5LcCtjR8QLtoNecXfEt38w,0.463,0.975,0.14,0.000161,0.0,0.0567,0.498,134.129,128615,4,1,-5.614,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Halloween,0f856960-5f52-3ca2-b7b6-e65026f6acd9,1697656238,2023-10-18 21:10:38,4QL6epCx6rlUbDG4TF3sj9,0.236,0.964,0.0935,0.00115,1.93e-06,0.125,0.764,185.157,215179,4,0,-4.993,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Forest Fire,91a1c487-3b26-420f-a22f-5a638c35f853,1697656095,2023-10-18 21:08:15,7q3QfGCZGFTsOuDan8QS0Q,0.27,0.978,0.201,0.000162,0.0,0.15,0.419,141.692,142965,4,1,-4.823,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Buzzbomb,19612932-2a7b-48ef-8fea-babfb4775677,1697655953,2023-10-18 21:05:53,5TGDbGkn5hWchbPmsEec0H,0.314,0.982,0.112,0.000122,0.0,0.237,0.486,139.931,141804,4,11,-4.756,0
